Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat-Cat_self  An-An_self  Cat-Cat_cross  An-An_cross  Cat-An_cross
0.65  22.182589622319565  22.037561957886048  -0.8814861655040664  -0.3538783763532725  -7.703568691169356
0.655  22.19825130436882  22.0552711046989  -0.8876535969948585  -0.3542457058632521  -7.731070261699237
0.66  22.213856829895366  22.07309882432693  -0.894059948907719  -0.35474600847949606  -7.758964023996575
0.665  22.229387542773797  22.091019876436125  -0.9007213095654082  -0.3553668063916978  -7.787148648681133
0.67  22.244836006349782  22.10898133573456  -0.9076157129527097  -0.3560924398802422  -7.81550454071367
0.675  22.26020879359287  22.12690916204595  -0.9146921585464287  -0.3569098376530492  -7.843899617461469
0.68  22.275526452005437  22.144717440628792  -0.9218788291201874  -0.3578124146764672  -7.8721960038822
0.685  22.290812025947776  22.162318369877998  -0.9290860987106776  -0.358799793470473  -7.900256015053504
0.69  22.306069182219094  22.17963039575724  -0.9362064353936761  -0.3598735006811005  -7.927942314766021
0.695  22.32126264591374  22.196582680226314  -0.9431162735215273  -0.3610318086970425  -7.95511035647878
0.7  22.33631465578719  22.21311634707635  -0.9496832913459271  -0.36226723259628185  -7.981601844076926
0.705  22.3511218224622  22.229184542051236  -0.9557797557613157  -0.36356719066026005  -8.00725310984712
0.71  22.36558404763292  22.244753017013185  -0.9612998618669603  -0.3649155617037063  -8.031924228099207
0.715  22.379629832263536  22.259801834812023  -0.9661756022096032  -0.3662931930045646  -8.055540103850078
0.72  22.393226656263455  22.274328034197012  -0.9703850992809822  -0.36767741280352706  -8.078125567040939
0.725  22.40637573886389  22.2883483637003  -0.97395232492239  -0.36904169241593415  -8.099818801597324
0.73  22.41909772849184  22.301900355284097  -0.9769417907788073  -0.3703562161006722  -8.120857105630547
0.735  22.43141821008869  22.315040316498134  -0.9794511963994145  -0.371589375866078  -8.141539131297542
0.74  22.443360306323093  22.327838561703047  -0.9816017222557504  -0.3727101048780963  -8.162175405590725
0.745  22.454944808539384  22.340373561145658  -0.9835241771894191  -0.37369108926357375  -8.183041284633024
0.75  22.466191242775373  22.3527262375112  -0.985342789499558  -0.37451226882732414  -8.204340690641535
0.755  22.477114793555067  22.36497436466551  -0.9871634115567666  -0.37516296783582487  -8.226180729478282
0.76  22.487721141901954  22.37718678090343  -0.9890715203947333  -0.37564105745227244  -8.248557036951613
0.765  22.498005879414226  22.38941805448669  -0.9911386055344727  -0.3759492354858877  -8.271355474190605
0.77  22.50796340800243  22.401704986226083  -0.9934298754054459  -0.37609030815970856  -8.294377395510761
